,MDI (In-Sample),MDA (Out-of-Sample)
btc_exchange_netflow,0.002659089312394316,0.001064779393011983
btc_exchange_supply_ratio,0.005599008087342285,0.0007523590920683442
btc_short_liquidations,0.001527321723264994,0.00046544248916091104
volume,0.0033793335821555937,0.0002996684519255277
btc_long_liquidations,0.003096348358922938,0.00029329252741646663
btc_open_interest,0.055106378113761505,0.0002614129048711999
btc_exchange_stablecoins_ratio,0.0008689907382268672,0.00010839071665389999
sma_50,0.05584151140830547,6.375924509055553e-06
rolling_max_10,0.059864657428714815,5.551115123125783e-18
btc_fund_flow_ratio,0.00132713250008332,5.551115123125783e-18
btc_exchange_inflow_total,0.0025228983514087536,0.0
bb_upper,0.04988631320677632,0.0
bb_lower,0.0440663152657582,0.0
stablecoin_exchange_supply_ratio,0.041886755412603977,0.0
sma_20,0.0419838916674501,0.0
stablecoin_exchange_inflow_total,0.001418234102211892,0.0
btc_exchange_reserve,0.052933198147779414,0.0
btc_exchange_outflow_total,0.0020712080559524243,0.0
btc_coinbase_premium_gap,0.0,0.0
btc_coinbase_premium_index,0.0,0.0
btc_funding_rates,0.0,0.0
high,0.03463314912067784,0.0
low,0.046491353512386514,0.0
rolling_max_240,0.06374796568137595,0.0
open,0.03952257276235989,0.0
close_frac_diff_0.20,0.06621177891388971,0.0
btc_miners_position_index,0.003527824861123855,0.0
stablecoin_exchange_outflow_total,0.0011436366756303917,0.0
stablecoin_exchange_reserve,0.05967866013180689,0.0
close,0.07105505440165222,-6.375924509055553e-06
btc_mvrv_ratio,0.0012043140891089513,-6.375924509055553e-06
stablecoin_exchange_netflow,0.0012002317436457376,-1.912777352716111e-05
btc_exchange_stablecoins_ratio_usd,0.0016344953236504286,-3.825554705432222e-05
btc_exchange_whale_ratio,0.0017201444854875688,-4.463147156337221e-05
btc_korea_premium_index,0.000859602743820461,-5.100739607243887e-05
btc_taker_buy_sell_ratio,0.002069328298977998,-5.7383320581494425e-05
btc_exchange_reserve_usd,0.046284539149021725,-0.00014664626370823884
btc_miner_netflow_total,0.0019481294770611393,-0.00019765365978067218
btc_puell_multiple,0.003940185382787974,-0.00024228513134404438
dollar_volume,0.0019504700785236118,-0.0003251721499617444
btc_short_liquidations_usd,0.0018837429419997231,-0.0006312165263963387
btc_long_liquidations_usd,0.0034289785788292806,-0.0006503442999234943
bw_indicator,0.023263797393383755,-0.0010647793930119998
bw_mean_reversion,0.08041625566663729,-0.001224177505738333
bw_momentum,0.016145203123047923,-0.004290997194593221
